2016-10-06T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-10-13T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-10-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-10-27T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-11-03T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-11-10T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-11-17T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-11-24T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-12-01T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-12-08T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-12-15T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-12-22T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-12-29T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-01-05T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-01-12T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-01-19T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-01-26T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-02-02T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-02-09T01:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, other, mechanical problem
2017-02-16T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-02-23T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-03-02T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-03-09T01:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, other, mechanical problem
2017-03-16T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-03-23T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2017-03-30T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-04-06T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-04-13T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, won`t start, mechanical problem
2017-04-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-04-27T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-04T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2017-05-11T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-18T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-25T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-06-01T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-06-08T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-06-15T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-06-22T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-06-29T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, other
2017-07-06T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2017-07-13T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2017-07-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2017-07-27T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-08-03T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, mechanical problem
2017-08-31T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2017-09-07T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-09-14T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-09-21T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-09-28T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-10-05T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-10-12T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, flat tire
2017-10-19T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-10-26T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-11-02T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-11-09T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-11-16T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2017-11-23T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, late return from field trip
2017-11-30T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-12-07T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, other, mechanical problem
2017-12-14T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, other
2017-12-21T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-12-28T01:00:00, Slot A, heavy traffic, mechanical problem, won`t start, Slot B, heavy traffic, mechanical problem, other
2018-01-04T01:00:00, Slot A, heavy traffic, weather conditions, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2018-01-11T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2018-01-18T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2018-01-25T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2018-02-01T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2018-02-08T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2018-02-15T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2018-02-22T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, other
2018-03-01T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, weather conditions, mechanical problem
